Term IRI	Term label	Parent term IRI	Parent term label	Alternative term	Definition
http://purl.obolibrary.org/obo/ENVO_01001890	chalybeate spring	http://purl.obolibrary.org/obo/ENVO_00000125	mineral spring		A spring through which water with elevated concentrations of iron salts flows.
http://purl.obolibrary.org/obo/ENVO_01001891	alum spring	http://purl.obolibrary.org/obo/ENVO_00000125	mineral spring		A spring through which water with elevated concentrations of hydrated double sulfate aluminium salts flows.
http://purl.obolibrary.org/obo/ENVO_01001893	salt spring	http://purl.obolibrary.org/obo/ENVO_00000125	mineral spring		A mineral spring through which water with elevated concentrations of sodium, calcium, or magnesium salts flows.
http://purl.obolibrary.org/obo/ENVO_01001894	alkaline spring	http://purl.obolibrary.org/obo/ENVO_00000125	mineral spring		A mineral spring through which water with a high pH flows.
http://purl.obolibrary.org/obo/ENVO_01001895	soda spring	http://purl.obolibrary.org/obo/ENVO_00000125	mineral spring		A mineral spring through which water with elevated levels of dissolved carbon dioxide gas flows.
http://purl.obolibrary.org/obo/ENVO_01001896	radioactive spring	http://purl.obolibrary.org/obo/ENVO_00000125	mineral spring		A mineral spring through which water with elevated levels of radioactive material flows.
http://purl.obolibrary.org/obo/ENVO_01001897	neutral spring	http://purl.obolibrary.org/obo/ENVO_00000027	spring		A spring through which water with a neutral pH flows.
http://purl.obolibrary.org/obo/ENVO_01001898	acidic spring	http://purl.obolibrary.org/obo/ENVO_00000027	spring		A spring through which water with a low pH flows.
http://purl.obolibrary.org/obo/ENVO_01003000	spacecraft	http://purl.obolibrary.org/obo/ENVO_01000604	vehicle		A vehicle designed to fly in outer space.
http://purl.obolibrary.org/obo/ENVO_01003001	water-holding capacity	http://purl.obolibrary.org/obo/BFO_0000016	disposition		A disposition of a material entity which is realised when it is saturated with liquid water.
http://purl.obolibrary.org/obo/ENVO_01003002	particle	http://purl.obolibrary.org/obo/ENVO_01001687	mass of solid material		A mass of solid material which is either 1) a minute fragment of a larger mass or 2) one of a collection of small masses composing an aggregate.
http://purl.obolibrary.org/obo/ENVO_01003005	day	http://purl.obolibrary.org/obo/BFO_0000038	one-dimensional temporal region		A one-dimensional temporal region which spans the duration an astronomical body completes one rotation on its axis.
http://purl.obolibrary.org/obo/ENVO_01003006	rainy day	http://purl.obolibrary.org/obo/ENVO_01003005	day		A day during which water-based rainfall occurs.
http://purl.obolibrary.org/obo/ENVO_01003007	percolation of water through soil	http://purl.obolibrary.org/obo/ENVO_01000982	water flow process		Percolation during which water moves through the interstices of soil.
http://purl.obolibrary.org/obo/ENVO_01003008	percolation	http://purl.obolibrary.org/obo/ENVO_03000010	material transport process		A material transport process during which a fluid is filtered through porous soild or semi-solid materials.
http://purl.obolibrary.org/obo/ENVO_01003009	drainage process	http://purl.obolibrary.org/obo/ENVO_03000010	material transport process		A material transport process during which a liquid which is not absorbed or otherwise held in place by a material is transported away from its location.
http://purl.obolibrary.org/obo/ENVO_01003010	convective transport process	http://purl.obolibrary.org/obo/ENVO_03000010	material transport process		A material transport process which arises spontaneously due to physical heterogeneities in a portion of a material and forces which act throughout its volume.
http://purl.obolibrary.org/obo/ENVO_01003011	convective	http://purl.obolibrary.org/obo/PATO_0002062	physical quality of a process		A physical quality of a process which is characteristic of processes that transport material within a volume due to the combined effects of material property heterogeneity and body forces across that volume.
http://purl.obolibrary.org/obo/ENVO_01003012	advective	http://purl.obolibrary.org/obo/PATO_0002062	physical quality of a process		A physical quality of a process which is characteristic of process that transport material without, themselves, changing the qualities of those materials or the processes that are unfolding within them.
http://purl.obolibrary.org/obo/ENVO_01003013	material diffusion process	http://purl.obolibrary.org/obo/ENVO_03000010	material transport process		A material transport process during which material moves from a region of higher concentration to a region of lower concentration.
http://purl.obolibrary.org/obo/ENVO_01003014	irradiation	http://purl.obolibrary.org/obo/ENVO_01001852	energy transfer process		An energy transfer process during which a material entity receives energy through radiation.
http://purl.obolibrary.org/obo/ENVO_01003015	irradiation by ionizing radiation	http://purl.obolibrary.org/obo/ENVO_01003014	irradiation		Irradiation during which a material entity receives energy through ionizing radiation.
http://purl.obolibrary.org/obo/ENVO_01003016	irradiation by non-ionizing radiation	http://purl.obolibrary.org/obo/ENVO_01003014	irradiation		Irradiation during which a material entity receives energy through non-ionizing radiation.
http://purl.obolibrary.org/obo/ENVO_01003017	irradiation by photosynthetically active radiation	http://purl.obolibrary.org/obo/ENVO_01003016	irradiation by non-ionizing radiation		Irradiation during which a material entity receives energy through photosynthetically active radiation.
http://purl.obolibrary.org/obo/ENVO_01003018	electromagnetic wave energy	http://purl.obolibrary.org/obo/ENVO_01003019	wave energy		Wave energy which inheres in perpendicular electric and magnetic fields and which is realised when they oscillate and propagate.
http://purl.obolibrary.org/obo/ENVO_01003019	wave energy	http://purl.obolibrary.org/obo/ENVO_2000015	energy		Energy which inheres in a wave and is realised during its propagation.
http://purl.obolibrary.org/obo/ENVO_02000150	uranium deposit	http://purl.obolibrary.org/obo/ENVO_01000255	mineral deposit		A mineral deposit that contains uranium ore.
http://purl.obolibrary.org/obo/ENVO_02000151	natural nuclear fission reactor	http://purl.obolibrary.org/obo/ENVO_02000150	uranium deposit		A uranium deposit where self-sustaining nuclear chain reactions have occurred.
http://purl.obolibrary.org/obo/ENVO_03000141	snow layer	http://purl.obolibrary.org/obo/ENVO_01001609	cryospheric layer		A cryospheric layer which is primarily composed of snow.
http://purl.obolibrary.org/obo/ENVO_03000142	snow water equivalent	http://purl.obolibrary.org/obo/PATO_0001595	depth		A depth which inheres in a layer of liquid water derived from the complete melting a mass of snow contained in an area.
http://purl.obolibrary.org/obo/ENVO_03000144	planetary cryosphere	http://purl.obolibrary.org/obo/ENVO_03000143	cryosphere		A cryosphere which is part of a planet.
http://purl.obolibrary.org/obo/ENVO_03000147	thickness of snow	http://purl.obolibrary.org/obo/PATO_0000915	thickness		The thickness of some snow.
http://purl.obolibrary.org/obo/ENVO_03400001	area of alpine tundra	http://purl.obolibrary.org/obo/ENVO_00000112	area of tundra		An area of tundra which is present in a region subject to alpine conditions.
http://purl.obolibrary.org/obo/ENVO_03400002	area of polar tundra	http://purl.obolibrary.org/obo/ENVO_00000112	area of tundra		An area of tundra which is present in a region subject to polar conditions.
http://purl.obolibrary.org/obo/ENVO_03400003	snow cover	http://purl.obolibrary.org/obo/PATO_0001351	area density		An area density which inheres in snow distributed over an area of a landmass or other substrate.
http://purl.obolibrary.org/obo/ENVO_03400009	falling sleet	http://purl.obolibrary.org/obo/BFO_0000027	object aggregate		An object aggregate which is primarily composed of particles of water in liquid, frozen, or partially frozen states.
http://purl.obolibrary.org/obo/ENVO_03400010	freezing rain	http://purl.obolibrary.org/obo/ENVO_01001565	water-based rain		Water-based rain which is composed of supercooled water droplets, which freeze on contact with surfaces.
http://purl.obolibrary.org/obo/ENVO_03400012	hail stone	http://purl.obolibrary.org/obo/ENVO_01000293	ice mass		An ice mass which 1) occurs in a ball-shape or irregular lump, 2) has a minimum diameter of 5 millimeters (or 0.2 inches), and 3) is formed within convective clouds.
http://purl.obolibrary.org/obo/ENVO_03400013	falling snow	http://purl.obolibrary.org/obo/BFO_0000027	object aggregate		An object aggregate which is composed primarily of snow falling through an atmosphere.
http://purl.obolibrary.org/obo/ENVO_03400014	precipitation of sleet	http://purl.obolibrary.org/obo/ENVO_01000703	hydrological precipitation process		A hydrological precipitation process during which water falls in both liquid and frozen form.
http://purl.obolibrary.org/obo/ENVO_03400015	sleet pellet	http://purl.obolibrary.org/obo/ENVO_01000293	ice mass		An ice mass which is primarily composed of frozen or mostly frozen raindrops or refrozen partially melted snowflakes.
http://purl.obolibrary.org/obo/ENVO_03400016	area of ice cover	http://purl.obolibrary.org/obo/ENVO_01000408	environmental zone		An environmental zone which is covered or partially covered by ice.
http://purl.obolibrary.org/obo/ENVO_03501103	ambulance	http://purl.obolibrary.org/obo/ENVO_01000601	motor vehicle		A motor vehicle which is equipped with medical equipment and can be used to transport humans to treatment facilities.
http://purl.obolibrary.org/obo/ENVO_03501104	recreational cruise ship	http://purl.obolibrary.org/obo/ENVO_01000608	boat		A boat which provides short-term residential and entertainment facilities to passengers.
http://purl.obolibrary.org/obo/ENVO_03501110	constructed transport system	http://purl.obolibrary.org/obo/RO_0002577	system		A system which has components that have been constructed to allow the movement of people or goods.
http://purl.obolibrary.org/obo/ENVO_03501113	public ferry	http://purl.obolibrary.org/obo/ENVO_03501100	ferry		A ferry which is owned by a government or other form of public representation.
http://purl.obolibrary.org/obo/ENVO_03501114	public train	http://purl.obolibrary.org/obo/ENVO_03501107	train		A train which is owned by a government or other form of public representation.
http://purl.obolibrary.org/obo/ENVO_03501116	rapid transit system	http://purl.obolibrary.org/obo/ENVO_03501111	public transit system		A public transit system which is owned by a government or other form of public representation.
http://purl.obolibrary.org/obo/ENVO_03501117	transport hub	http://purl.obolibrary.org/obo/ENVO_00000070	human construction		A place where passengers and cargo are exchanged between vehicles or/and between transport modes.
