Agreement biome (exact match),biome_exact_match_mean,biome_exact_match_sd,Agreement biome (lenient match),biome_lenient_match_mean,biome_lenient_match_sd,sample_size,Filename,Average Similarity,Median Similarity,Standard Deviation,subbiome_sample_size,95th Percentile,MWU Statistic,MWU P-value,Label
"82.6%
(n=500)",82.6,38.0,"82.6%
(n=500)",82.6,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.5_freqp0.25_presp1.5_rs22_batchkumTlIdj4B7wKVARjFoHQe4x_dt202406071414.csv,0.57,0.58,0.25,494.0,[0.38 0.58 0.74],220223.5,0.0,async_topp0.5
"82.6%
(n=500)",82.6,38.0,"82.6%
(n=500)",82.6,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch531mkNXTyMyYTSBJiWVwcLm7_dt202406071408.csv,0.58,0.58,0.25,495.0,[0.39 0.58 0.76],221093.0,0.0,async_topp0.75
"82.2%
(n=500)",82.2,38.0,"82.2%
(n=500)",82.2,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp1.0_freqp0.25_presp1.5_rs22_batchudcfHtFjYh6fZMOL0oKk7yLR_dt202406071415.csv,0.57,0.57,0.24,490.0,[0.4  0.57 0.74],215011.5,0.0,async_topp1.0
,,,,,,,,,,,,,,,
"79.16%
(n=499)",79.16,41.0,"79.16%
(n=499)",79.16,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.0_presp1.5_rs22_API120_normal_dt202406051442.txt,0.49,0.46,0.24,474.0,[0.3  0.46 0.65],194788.0,0.0,sync_chunkY_freqp0.0
"78.16%
(n=499)",78.16,41.0,"78.16%
(n=499)",78.16,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API118_normal_dt202406051326.txt,0.51,0.5,0.24,455.0,[0.31 0.5  0.69],180023.5,0.0,sync_chunkY_freqp0.25
"66.47%
(n=498)",66.47,47.0,"76.71%
(n=498)",76.71,42.0,498.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp1.0_presp1.5_rs22_API132_normal_dt202406051450.txt,0.5,0.46,0.25,393.0,[0.29 0.46 0.67],131691.0,0.0,sync_chunkY_freqp1.0
"64.26%
(n=484)",64.26,48.0,"78.31%
(n=484)",78.31,41.0,484.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp2.0_presp1.5_rs22_API153_normal_dt202406051500.txt,0.5,0.46,0.25,349.0,[0.29 0.46 0.67],105482.0,0.0,sync_chunkY_freqp2.0
,,,,,,,,,,,,,,,
"80.76%
(n=499)",80.76,39.0,"80.76%
(n=499)",80.76,39.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.0_presp1.5_rs22_API499_repeat_dt202406171520.txt,0.5,0.47,0.25,423.0,[0.3  0.47 0.69],153920.0,0.0,sync_chunkN_freqp0.0
"78.76%
(n=499)",78.76,41.0,"78.76%
(n=499)",78.76,41.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_normal_dt202406051335.txt,0.52,0.5,0.25,434.0,[0.32 0.5  0.69],163375.0,0.0,sync_chunkN_freqp0.25
"79.16%
(n=499)",79.16,41.0,"79.16%
(n=499)",79.16,41.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp1.0_presp1.5_rs22_API499_repeat_dt202406171543.txt,0.51,0.48,0.25,418.0,[0.29 0.48 0.69],148977.0,0.0,sync_chunkN_freqp1.0
"80.96%
(n=499)",80.96,39.0,"80.96%
(n=499)",80.96,39.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp2.0_presp1.5_rs22_API499_repeat_dt202406171555.txt,0.51,0.48,0.25,412.0,[0.3  0.48 0.7 ],145791.0,0.0,sync_chunkN_freqp2.0
,,,,,,,,,,,,,,,
"81.6%
(n=500)",81.6,39.0,"81.6%
(n=500)",81.6,39.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.0_presp1.5_rs22_batchrTuC2pXWV1UcVrQjzhdQsTVm_dt202406071417.csv,0.58,0.57,0.25,494.0,[0.38 0.57 0.76],219600.5,0.0,async_freqp0.0
"82.6%
(n=500)",82.6,38.0,"82.6%
(n=500)",82.6,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch531mkNXTyMyYTSBJiWVwcLm7_dt202406071408.csv,0.58,0.58,0.25,495.0,[0.39 0.58 0.76],221118.0,0.0,async_freqp0.25
"82.4%
(n=500)",82.4,38.0,"82.4%
(n=500)",82.4,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp1.0_presp1.5_rs22_batch17uVtvnldxiQ6kr5NbBKJInh_dt202406071418.csv,0.57,0.57,0.24,496.0,[0.37 0.57 0.74],221257.0,0.0,async_freqp1.0
"82.05%
(n=468)",82.05,38.0,"82.05%
(n=468)",82.05,38.0,468.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp2.0_presp1.5_rs22_batchrsizRxW3st3W2olyp0fU3Go0_dt202406071419.csv,0.55,0.54,0.25,458.0,[0.36 0.54 0.73],186424.5,0.0,async_freqp2.0
,,,,,,,,,,,,,,,
"77.96%
(n=499)",77.96,41.0,"78.16%
(n=499)",78.16,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp0.0_rs22_API118_normal_dt202406051507.txt,0.51,0.48,0.25,475.0,[0.31 0.48 0.69],194759.0,0.0,sync_chunkY_presp0.0
"77.56%
(n=499)",77.56,42.0,"78.16%
(n=499)",78.16,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.0_rs22_API118_normal_dt202406051513.txt,0.51,0.49,0.25,468.0,[0.29 0.49 0.69],187036.0,0.0,sync_chunkY_presp1.0
"78.16%
(n=499)",78.16,41.0,"78.16%
(n=499)",78.16,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API118_normal_dt202406051326.txt,0.51,0.5,0.24,455.0,[0.31 0.5  0.69],179850.5,0.0,sync_chunkY_presp1.5
"78.36%
(n=499)",78.36,41.0,"78.96%
(n=499)",78.96,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp2.0_rs22_API118_normal_dt202406051520.txt,0.51,0.49,0.25,464.0,[0.31 0.49 0.7 ],184537.0,0.0,sync_chunkY_presp2.5
,,,,,,,,,,,,,,,
"80.56%
(n=499)",80.56,40.0,"80.56%
(n=499)",80.56,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp0.0_rs22_API499_repeat_dt202406171624.txt,0.52,0.5,0.24,434.0,[0.34 0.5  0.69],165187.0,0.0,sync_chunkN_presp0.0
"79.36%
(n=499)",79.36,41.0,"79.36%
(n=499)",79.36,41.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.0_rs22_API499_repeat_dt202406171636.txt,0.52,0.5,0.25,426.0,[0.32 0.5  0.7 ],158280.5,0.0,sync_chunkN_presp1.0
"78.76%
(n=499)",78.76,41.0,"78.76%
(n=499)",78.76,41.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_normal_dt202406051335.txt,0.52,0.5,0.25,434.0,[0.32 0.5  0.69],163005.5,0.0,sync_chunkN_presp1.5
"80.76%
(n=499)",80.76,39.0,"80.76%
(n=499)",80.76,39.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp2.0_rs22_API499_repeat_dt202406171647.txt,0.52,0.49,0.25,423.0,[0.32 0.49 0.69],155894.5,0.0,sync_chunkN_presp2.5
,,,,,,,,,,,,,,,
